transcript,wav_filename,duration
once there was a young rat named arthur who never could make up his mind,./real_batch/wav/1028-20100710-hne-ar-01.wav,6.25
whenever his friends asked him if he would like to go out with them,./real_batch/wav/1028-20100710-hne-ar-02.wav,5.375
he would only answer i dont know he wouldnt say yes or no either,./real_batch/wav/1028-20100710-hne-ar-03.wav,6.5
he would always shirk making a choice his aunt helen said to him,./real_batch/wav/1028-20100710-hne-ar-04.wav,5.875
you have no more mind than a blade of grass,./real_batch/wav/1028-20100710-hne-ar-06.wav,4.5
one rainy day the rats heard a great noise in the loft,./real_batch/wav/1028-20100710-hne-ar-07.wav,5.375
this will be discussed with industry,./real_batch/wav/1337ad-20170321-ajg-en-0532.wav,4.625
here the classes are total immersion,./real_batch/wav/1337ad-20170321-ajg-en-0534.wav,4.25
so that he is in with children from a variety of cultural backgrounds,./real_batch/wav/1337ad-20170321-ajg-en-0535.wav,6.0
nevertheless indicated she might be inching toward some controls,./real_batch/wav/1337ad-20170321-ajg-en-0541.wav,5.875
and is effective immediately,./real_batch/wav/1337ad-20170321-tkg-en-0730.wav,3.75
give me a shout and tell me what you think,./real_batch/wav/1337ad-20170321-tkg-en-0731.wav,3.875
im gonna go and quickly check on my puppy this afternoon,./real_batch/wav/1337ad-20170321-tkg-en-0732.wav,5.125
researchers at harvard medical school recently found that in mice,./real_batch/wav/1337ad-20170321-tkg-en-0733.wav,6.0
as for ron i really have egg on my face i totally forgot about ron,./real_batch/wav/1337ad-20170321-tkg-en-0734.wav,6.5
credit worthiness will be address in the technical conference,./real_batch/wav/1337ad-20170321-tkg-en-0735.wav,5.375
can you fill it in yourself i will sign it,./real_batch/wav/1337ad-20170321-ynk-en-0647.wav,4.875
samantha should be able to handle this for you,./real_batch/wav/1337ad-20170321-ynk-en-0648.wav,4.625
since she maintains and updates the brokerage reports,./real_batch/wav/1337ad-20170321-ynk-en-0649.wav,5.0
apologies in advance theyre a little rough,./real_batch/wav/1337ad-20170321-ynk-en-0651.wav,4.5
but these guys are getting bothersome,./real_batch/wav/1337ad-20170321-ynk-en-0652.wav,4.0
begin checking the internal temperature of the roast,./real_batch/wav/1337ad-20170321-ynk-en-0653.wav,4.625
arthur can you advise if we are required by any law,./real_batch/wav/1337ad-20170321-ynk-en-0655.wav,4.875
to trim the trees and bushes which block the view of an adjoining resident,./real_batch/wav/1337ad-20170321-ynk-en-0656.wav,7.0
it seemed the ordained order of things that dogs should work,./real_batch/wav/1snoke-20120412-hge-a0405.wav,6.625
and that was the last of francois and perrault,./real_batch/wav/1snoke-20120412-hge-a0406.wav,7.625
mercedes screamed cried laughed and manifested the chaotic abandonment of hysteria,./real_batch/wav/1snoke-20120412-hge-a0407.wav,10.5
the eldorado emptied its occupants into the street to see the test,./real_batch/wav/1snoke-20120412-hge-a0408.wav,7.25
he could feel a new stir in the land,./real_batch/wav/1snoke-20120412-hge-a0409.wav,5.125
but i am at the end of my resources,./real_batch/wav/1snoke-20120412-hge-a0413.wav,5.625
now our figuring was all right,./real_batch/wav/1snoke-20120412-hge-a0414.wav,5.125
dig in youre sure good was daylights answer,./real_batch/wav/23yipikaye-20100807-ujm-b0312.wav,7.625
the apron string loomed near and he shied like an unbroken colt,./real_batch/wav/23yipikaye-20100807-ujm-b0313.wav,8.5
he had been born with this endowment,./real_batch/wav/23yipikaye-20100807-ujm-b0314.wav,5.0
and this was their sole conversation throughout the meal,./real_batch/wav/23yipikaye-20100807-ujm-b0315.wav,5.875
